date,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100039.97
2024-01-29,100029.68
2024-01-30,100129.2
2024-01-31,100126.65
2024-02-01,100126.65
2024-02-02,100126.65
2024-02-05,100126.65
2024-02-06,100126.65
2024-02-07,100126.65
2024-02-08,100126.65
2024-02-09,100126.65
2024-02-12,100126.65
2024-02-13,100126.65
2024-02-14,100126.65
2024-02-15,100126.65
2024-02-16,100100.87
2024-02-20,100103.61
2024-02-21,100103.61
2024-02-22,100103.61
2024-02-23,100103.61
2024-02-26,100103.61
2024-02-27,100103.61
2024-02-28,100103.61
2024-02-29,100103.61
2024-03-01,100103.61
2024-03-04,100103.61
2024-03-05,100103.61
2024-03-06,100103.61
2024-03-07,100103.61
2024-03-08,100103.61
2024-03-11,100103.61
2024-03-12,100093.81
2024-03-13,100143.52
2024-03-14,100172.46
2024-03-15,100166.08
2024-03-18,100160.84
2024-03-19,100157.79
2024-03-20,100177.13
2024-03-21,100183.35
2024-03-22,100183.35
2024-03-25,100183.35
2024-03-26,100183.35
2024-03-27,100183.35
2024-03-28,100183.35
2024-04-01,100183.35
2024-04-02,100183.35
2024-04-03,100196.36
2024-04-04,100201.61
2024-04-05,100201.61
2024-04-08,100201.61
2024-04-09,100201.61
2024-04-10,100201.61
2024-04-11,100201.61
2024-04-12,100201.61
2024-04-15,100201.61
2024-04-16,100201.61
2024-04-17,100201.61
2024-04-18,100201.61
2024-04-19,100201.61
2024-04-22,100201.61
2024-04-23,100201.61
2024-04-24,100201.61
2024-04-25,100201.61
2024-04-26,100201.61
2024-04-29,100201.61
2024-04-30,100201.61
2024-05-01,100201.61
2024-05-02,100201.61
2024-05-03,100201.61
2024-05-06,100201.61
2024-05-07,100201.61
2024-05-08,100201.61
2024-05-09,100201.61
2024-05-10,100201.61
2024-05-13,100201.61
2024-05-14,100201.61
2024-05-15,100201.61
2024-05-16,100201.61
2024-05-17,100201.61
2024-05-20,100201.61
2024-05-21,100201.61
2024-05-22,100201.61
2024-05-23,100201.61
2024-05-24,100201.61
2024-05-28,100201.61
2024-05-29,100201.61
2024-05-30,100201.61
2024-05-31,100201.61
2024-06-03,100084.28
2024-06-04,100031.18
2024-06-05,100031.18
2024-06-06,100031.18
2024-06-07,100031.18
2024-06-10,100031.18
2024-06-11,100031.18
2024-06-12,100031.18
2024-06-13,100031.18
2024-06-14,100031.18
2024-06-17,100031.18
2024-06-18,100031.18
2024-06-20,100031.18
2024-06-21,99986.71
2024-06-24,100011.77
2024-06-25,100025.17
2024-06-26,100028.14
2024-06-27,100028.14
2024-06-28,100028.14
2024-07-01,100028.14
2024-07-02,100028.14
2024-07-03,100028.14
2024-07-05,100028.14
2024-07-08,100028.14
2024-07-09,100028.14
2024-07-10,100028.14
2024-07-11,100028.14
2024-07-12,100028.14
2024-07-15,100028.14
2024-07-16,100069.34
2024-07-17,100078.29
2024-07-18,100090.29
2024-07-19,100079.73
2024-07-22,100079.73
2024-07-23,100079.73
2024-07-24,100079.73
2024-07-25,100079.73
2024-07-26,100079.73
2024-07-29,100079.73
2024-07-30,100079.73
2024-07-31,100079.73
2024-08-01,100079.73
2024-08-02,100079.73
2024-08-05,100079.73
2024-08-06,100079.73
2024-08-07,100079.73
2024-08-08,100079.73
2024-08-09,100079.73
2024-08-12,100079.73
2024-08-13,100066.57
2024-08-14,100073.61
2024-08-15,100073.61
2024-08-16,100073.61
2024-08-19,100073.61
2024-08-20,100073.61
2024-08-21,100073.61
2024-08-22,100073.61
